wl	n	k
848.854	2.912647	1.614727
850.426	2.914078	1.616839
851.997	2.915516	1.618956
853.569	2.91696	1.621076
855.14	2.918409	1.623199
856.712	2.919866	1.625327
858.283	2.921328	1.627457
859.854	2.922797	1.629591
861.425	2.924272	1.631729
862.995	2.925754	1.63387
864.566	2.927243	1.636015
866.136	2.928738	1.638162
867.706	2.930239	1.640313
869.276	2.931748	1.642466
870.846	2.933264	1.644623
872.416	2.934786	1.646782
873.986	2.936315	1.648944
875.555	2.937852	1.651109
877.125	2.939395	1.653277
878.694	2.940946	1.655447
880.263	2.942503	1.65762
881.832	2.944068	1.659795
883.4	2.945641	1.661972
884.969	2.94722	1.664151
886.537	2.948807	1.666333
888.105	2.950401	1.668517
889.673	2.952003	1.670702
891.241	2.953612	1.67289
892.809	2.955228	1.67508
894.376	2.956852	1.677271
895.944	2.958484	1.679464
897.511	2.960124	1.681659
899.078	2.961771	1.683855
900.645	2.963425	1.686052
902.212	2.965088	1.688251
903.778	2.966758	1.690451
905.345	2.968436	1.692652
906.911	2.970122	1.694855
908.477	2.971816	1.697058
910.043	2.973517	1.699263
911.609	2.975227	1.701468
913.174	2.976944	1.703674
914.74	2.97867	1.705881
916.305	2.980403	1.708089
917.87	2.982145	1.710297
919.435	2.983894	1.712505
921	2.985652	1.714715
922.564	2.987417	1.716924
924.129	2.989191	1.719133
925.693	2.990973	1.721343
927.257	2.992763	1.723553
928.821	2.994561	1.725763
930.384	2.996368	1.727973
931.948	2.998183	1.730183
933.511	3.000005	1.732392
935.074	3.001837	1.734601
936.637	3.003676	1.73681
938.2	3.005524	1.739018
939.763	3.00738	1.741227
941.325	3.009244	1.743434
942.888	3.011117	1.74564
944.45	3.012998	1.747846
946.012	3.014888	1.750051
947.573	3.016786	1.752256
949.135	3.018692	1.754459
950.696	3.020607	1.756661
952.258	3.02253	1.758862
953.819	3.024461	1.761062
955.379	3.026402	1.763261
956.94	3.02835	1.765458
958.501	3.030307	1.767654
960.061	3.032273	1.769848
961.621	3.034247	1.772041
963.181	3.036229	1.774232
964.741	3.03822	1.776422
966.3	3.04022	1.77861
967.859	3.042228	1.780795
969.419	3.044245	1.782979
970.978	3.046271	1.785161
972.536	3.048305	1.787341
974.095	3.050348	1.789519
975.654	3.0524	1.791694
977.212	3.05446	1.793867
978.77	3.056529	1.796038
980.328	3.058607	1.798206
981.885	3.060694	1.800372
983.443	3.062789	1.802535
985	3.064893	1.804695
986.557	3.067006	1.806853
988.114	3.069128	1.809008
989.671	3.071259	1.811159
991.227	3.073399	1.813308
992.784	3.075548	1.815454
994.34	3.077706	1.817596
995.896	3.079873	1.819735
997.451	3.08205	1.821871
999.007	3.084235	1.824003
